sensor_0,sensor_1,sensor_2,angle
1473609,2143455,1536394,0
1512800,2242494,1549085,20
1587094,2368807,1638089,40
1478561,2083038,1664510,60
1474520,2090513,1580778,80
1454989,2174809,1547231,100
1518125,2176750,1557994,120
1441185,2117272,1531409,140
1469475,2120103,1583273,160
1445690,2099380,1531442,180
1500261,2258477,1574188,200
1476291,2064888,1575742,220
1486305,2105846,1594328,240
1457084,2108038,1571223,260
1463854,2144992,1553386,280
1534468,2295762,1577793,300
1458888,2164220,1568986,320
1462856,2215904,1551056,340
1586216,2233399,1644006,360
