,角度,0#传感器,1#传感器,2#传感器,
,0,1430802,2087086,1551057,
,20,1455911,2138408,1556609,
,40,1525408,2350695,1641848,
,60,1450539,2115891,1577330,
,80,1462667,2162498,1531984,
,100,1451164,2109614,1574370,
,120,1463342,2185783,1569211,
,140,1445059,2180236,1583684,
,160,1450004,2077464,1575529,
,180,1439973,2015299,1559738,
,200,1448766,2014443,1567363,
,220,1470351,2053776,1572677,
,240,1501333,1998291,1547791,
,260,1452318,2114258,1588407,
,280,1567635,2128453,1651966,
,300,1503280,2223618,1624831,
,320,1448817,2222874,1576029,
,340,1443904,2110707,1578699,
,360,1434712,2147152,1567799,
,,,,,
2019-01-22-23-18-43,0,1473609,2143455,1536394,
2019-01-22-23-18-46,20,1512800,2242494,1549085,
2019-01-22-23-18-47,40,1587094,2368807,1638089,
2019-01-22-23-18-49,60,1478561,2083038,1664510,
2019-01-22-23-18-54,80,1474520,2090513,1580778,
2019-01-22-23-18-58,100,1454989,2174809,1547231,
2019-01-22-23-19-01,120,1518125,2176750,1557994,
2019-01-22-23-19-03,140,1441185,2117272,1531409,
2019-01-22-23-19-07,160,1469475,2120103,1583273,
2019-01-22-23-19-11,180,1445690,2099380,1531442,
2019-01-22-23-19-13,200,1500261,2258477,1574188,
2019-01-22-23-19-16,220,1476291,2064888,1575742,
2019-01-22-23-19-19,240,1486305,2105846,1594328,
2019-01-22-23-19-22,260,1457084,2108038,1571223,
2019-01-22-23-19-25,280,1463854,2144992,1553386,
2019-01-22-23-19-27,300,1534468,2295762,1577793,
2019-01-22-23-19-30,320,1458888,2164220,1568986,
2019-01-22-23-19-32,340,1462856,2215904,1551056,
2019-01-22-23-19-34,360,1586216,2233399,1644006,
,,,,,
说明：同一片砂轮，旋转20度左右/次，得到以上数据；共两次的结果，砂轮实际重量896克,,,,,
传感器为500g的高精度传感器120度均布圆周，支撑点圆直径：366mm，上面加了支架，支撑位支架的是钢球,,,,,
,,,,,
